city_norm,item_id,month,forecasted_qty
bhiwani,10000296,2025-12-01,5.473061
bhubaneswar,10000296,2025-12-01,25.410948
bidar,10000296,2025-12-01,6.781281
bijapur,10000296,2025-12-01,6.66487
bikaner,10000296,2025-12-01,8.992086
bokaro,10000296,2025-12-01,5.681023
chandigarh,10000296,2025-12-01,22.647085
chennai,10000296,2025-12-01,111.16526
coimbatore,10000296,2025-12-01,6.2686744
cuttack,10000296,2025-12-01,7.8568907
darbhanga,10000296,2025-12-01,5.473061
davanagere,10000296,2025-12-01,6.0942235
delhi,10000296,2025-12-01,358.23444
deoghar,10000296,2025-12-01,4.2014427
deoria,10000296,2025-12-01,6.35945
dhanbad,10000296,2025-12-01,12.557033
dharamshala,10000296,2025-12-01,5.473061
dharwad,10000296,2025-12-01,6.0942235
durg,10000296,2025-12-01,8.00081
durgapur,10000296,2025-12-01,9.253027
eluru,10000296,2025-12-01,4.667691
erode,10000296,2025-12-01,5.473061
faridabad,10000296,2025-12-01,36.84104
farrukhabad,10000296,2025-12-01,5.473061
fatehpur,10000296,2025-12-01,5.8862624
firozabad,10000296,2025-12-01,5.473061
firozpur,10000296,2025-12-01,5.3070736
gandhidham,10000296,2025-12-01,4.060709
gaya,10000296,2025-12-01,9.843105
ghaziabad,10000296,2025-12-01,82.59588
goa,10000296,2025-12-01,29.456278
gonda,10000296,2025-12-01,6.35945
gorakhpur,10000296,2025-12-01,21.36178
gulbarga,10000296,2025-12-01,9.059721
guntur,10000296,2025-12-01,9.103762
gurgaon,10000296,2025-12-01,114.8821
guwahati,10000296,2025-12-01,53.301697
gwalior,10000296,2025-12-01,6.9386163
haldwani,10000296,2025-12-01,16.197567
hamirpur,10000296,2025-12-01,5.473061
hassan,10000296,2025-12-01,7.4218826
hazaribagh,10000296,2025-12-01,6.35945
hisar,10000296,2025-12-01,6.482619
hoshiarpur,10000296,2025-12-01,5.473061
hubli,10000296,2025-12-01,6.8728166
hyderabad,10000296,2025-12-01,544.8598
jabalpur,10000296,2025-12-01,12.937081
jaipur,10000296,2025-12-01,68.87478
jalandhar,10000296,2025-12-01,15.541533
jammu,10000296,2025-12-01,17.250965
jamnagar,10000296,2025-12-01,5.473061
jamshedpur,10000296,2025-12-01,31.324657
jaunpur,10000296,2025-12-01,7.252264
jhansi,10000296,2025-12-01,7.3393693
jind,10000296,2025-12-01,5.8862624
jodhpur,10000296,2025-12-01,13.719023
junagadh,10000296,2025-12-01,2.6902637
kakinada,10000296,2025-12-01,9.65463
kanpur,10000296,2025-12-01,66.9966
karnal,10000296,2025-12-01,5.473061
khanna,10000296,2025-12-01,2.6902637
kharagpur,10000296,2025-12-01,10.618186
kharar,10000296,2025-12-01,10.822981
kochi,10000296,2025-12-01,15.252964
kolhapur,10000296,2025-12-01,5.651392
kolkata,10000296,2025-12-01,779.58484
kota,10000296,2025-12-01,14.538758
kottayam,10000296,2025-12-01,5.473061
kurnool,10000296,2025-12-01,7.4218826
lakhimpur,10000296,2025-12-01,5.6499257
latur,10000296,2025-12-01,5.473061
lonavala,10000296,2025-12-01,4.17883
lucknow,10000296,2025-12-01,125.74358
ludhiana,10000296,2025-12-01,18.310299
madurai,10000296,2025-12-01,4.060709
mainpuri,10000296,2025-12-01,3.5165844
mangaluru,10000296,2025-12-01,5.6499257
manipal,10000296,2025-12-01,5.473061
mathura,10000296,2025-12-01,5.473061
meerut,10000296,2025-12-01,21.20695
mehsana,10000296,2025-12-01,4.3643427
modinagar,10000296,2025-12-01,4.827073
moga,10000296,2025-12-01,5.473061
mohali,10000296,2025-12-01,16.82384
moradabad,10000296,2025-12-01,7.6246076
mumbai,10000296,2025-12-01,264.68198
muzaffarnagar,10000296,2025-12-01,4.2826614
muzaffarpur,10000296,2025-12-01,10.618186
mysore,10000296,2025-12-01,16.939016
nadiad,10000296,2025-12-01,3.835467
nagpur,10000296,2025-12-01,23.49983
nanded,10000296,2025-12-01,3.4687722
nashik,10000296,2025-12-01,6.5294356
navsari,10000296,2025-12-01,5.473061
nellore,10000296,2025-12-01,8.591123
nizamabad,10000296,2025-12-01,4.5338564
noida,10000296,2025-12-01,141.80095
panchkula,10000296,2025-12-01,8.189289
panipat,10000296,2025-12-01,7.5431976
pathankot,10000296,2025-12-01,4.060709
patiala,10000296,2025-12-01,10.548301
patna,10000296,2025-12-01,43.649952
