city_norm,item_id,oct_actual_sales
goa,10000296,44.0
gonda,10000296,2.0
gorakhpur,10000296,31.0
gulbarga,10000296,9.0
guntur,10000296,7.0
gurgaon,10000296,119.0
guwahati,10000296,94.0
gwalior,10000296,11.0
haldwani,10000296,25.0
hamirpur,10000296,1.0
hapur,10000296,1.0
hardoi,10000296,2.0
hassan,10000296,3.0
hazaribagh,10000296,6.0
hisar,10000296,7.0
hoshiarpur,10000296,3.0
hosur,10000296,2.0
hubli,10000296,12.0
hyderabad,10000296,727.0
jabalpur,10000296,12.0
jaipur,10000296,63.0
jalandhar,10000296,15.0
jammu,10000296,43.0
jamnagar,10000296,4.0
jamshedpur,10000296,34.0
jaunpur,10000296,3.0
jhansi,10000296,8.0
jind,10000296,5.0
jodhpur,10000296,17.0
junagadh,10000296,2.0
kaithal,10000296,1.0
kakinada,10000296,13.0
kalol,10000296,5.0
kanpur,10000296,62.0
kapurthala,10000296,2.0
karnal,10000296,4.0
kashipur,10000296,3.0
khanna,10000296,2.0
kharagpur,10000296,7.0
kharar,10000296,10.0
kochi,10000296,9.0
kolhapur,10000296,3.0
kolkata,10000296,767.0
kota,10000296,12.0
kottayam,10000296,1.0
kozhikode,10000296,4.0
kurnool,10000296,8.0
lakhimpur,10000296,4.0
latur,10000296,2.0
lonavala,10000296,1.0
lucknow,10000296,166.0
ludhiana,10000296,15.0
madurai,10000296,1.0
mainpuri,10000296,2.0
manali,10000296,1.0
mangaluru,10000296,6.0
manipal,10000296,4.0
mathura,10000296,3.0
meerut,10000296,25.0
mehsana,10000296,9.0
modinagar,10000296,8.0
mohali,10000296,6.0
moradabad,10000296,6.0
morbi,10000296,2.0
mumbai,10000296,381.0
muradnagar,10000296,3.0
muzaffarnagar,10000296,4.0
muzaffarpur,10000296,10.0
mysore,10000296,27.0
nadiad,10000296,1.0
nagpur,10000296,34.0
nanded,10000296,3.0
nashik,10000296,5.0
navsari,10000296,1.0
nellore,10000296,15.0
nizamabad,10000296,6.0
noida,10000296,132.29999999999998
ongole,10000296,7.0
palwal,10000296,3.0
panchkula,10000296,4.0
panipat,10000296,13.0
pathankot,10000296,2.0
patiala,10000296,12.0
patna,10000296,71.0
phagwara,10000296,4.0
prayagraj,10000296,39.0
puducherry,10000296,2.0
pune,10000296,129.0
puri,10000296,1.0
purnia,10000296,4.0
raebareli,10000296,8.0
raipur,10000296,17.0
rajahmundry,10000296,19.0
rajkot,10000296,15.0
rajpura,10000296,1.0
rampur,10000296,10.0
ranchi,10000296,58.0
rewa,10000296,2.0
rewari,10000296,3.0
rohtak,10000296,4.0
saharanpur,10000296,2.0
salem,10000296,1.0
sangli,10000296,2.0
satara,10000296,2.0
shillong,10000296,25.0
shimoga,10000296,11.0
sikar,10000296,7.0
siliguri,10000296,16.0
sirsa,10000296,1.0
sitapur,10000296,4.0
solan,10000296,3.0
solapur,10000296,2.0
sonipat,10000296,9.0
sri ganganagar,10000296,2.0
sundar nagar,10000296,2.0
surat,10000296,13.0
thrissur,10000296,3.0
tiruchirappalli,10000296,4.0
tirupati,10000296,9.0
trivandrum,10000296,1.0
tumkur,10000296,8.0
udaipur,10000296,10.0
udupi,10000296,5.0
una,10000296,1.0
unnao,10000296,8.0
vadodara,10000296,27.0
vapi,10000296,1.0
varanasi,10000296,37.0
vellore,10000296,2.0
vijayawada,10000296,43.0
vizag,10000296,56.0
vizianagaram,10000296,2.0
vrindavan,10000296,6.0
warangal,10000296,26.0
yamunanagar,10000296,4.0
zirakpur,10000296,15.0
agra,10000867,770.0
ahmedabad,10000867,335.0
ahmednagar,10000867,10.0
ajmer,10000867,61.0
akola,10000867,12.0
aligarh,10000867,467.0
alwar,10000867,85.0
ambala,10000867,169.0
amravati,10000867,24.0
amritsar,10000867,473.0
anand,10000867,19.0
ankleshwar,10000867,12.0
asansol,10000867,230.0
aurangabad,10000867,27.0
ayodhya,10000867,300.0
baddi,10000867,70.0
bahadurgarh,10000867,375.0
ballari,10000867,11.0
barabanki,10000867,139.0
bardhaman,10000867,78.0
bareilly,10000867,284.0
batala,10000867,59.0
bathinda,10000867,76.0
begusarai,10000867,91.0
belgaum,10000867,27.0
bengaluru,10000867,3001.0
berhampur,10000867,164.0
bhagalpur,10000867,144.0
bharuch,10000867,25.0
bhavnagar,10000867,13.0
bhimavaram,10000867,16.0
bhiwadi,10000867,367.0
bhiwani,10000867,94.0
bhopal,10000867,247.0
bhubaneswar,10000867,1154.0
bhuj,10000867,6.0
bidar,10000867,20.0
bihar sharif,10000867,2.0
bijapur,10000867,21.0
bijnor,10000867,53.0
bikaner,10000867,30.0
bilaspur,10000867,23.0
bokaro,10000867,102.0
chandigarh,10000867,1510.0
chandrapur,10000867,13.0
chennai,10000867,621.0
cuttack,10000867,244.0
darbhanga,10000867,95.0
davanagere,10000867,6.0
dehradun,10000867,1554.0
delhi,10000867,30545.0
deoghar,10000867,96.0
deoria,10000867,93.0
dewas,10000867,9.0
dhanbad,10000867,315.0
dharamshala,10000867,22.0
dharwad,10000867,10.0
durg,10000867,71.0
durgapur,10000867,106.0
eluru,10000867,17.0
faridabad,10000867,3833.0
farrukhabad,10000867,71.0
fatehpur,10000867,95.0
firozabad,10000867,60.0
firozpur,10000867,42.0
gandhidham,10000867,27.0
gaya,10000867,96.0
ghaziabad,10000867,5312.4
goa,10000867,27.0
gonda,10000867,173.0
gorakhpur,10000867,734.0
gulbarga,10000867,70.0
guntur,10000867,44.0
gurgaon,10000867,7160.0
guwahati,10000867,656.0
gwalior,10000867,80.0
haldwani,10000867,229.0
hamirpur,10000867,32.0
hapur,10000867,105.0
hardoi,10000867,30.0
haridwar,10000867,617.0
hassan,10000867,8.0
hazaribagh,10000867,56.0
hisar,10000867,172.0
hoshiarpur,10000867,126.0
hosur,10000867,5.0
hubli,10000867,19.0
hyderabad,10000867,995.0
indore,10000867,240.0
jabalpur,10000867,89.0
jaipur,10000867,595.0
jalandhar,10000867,401.0
jalgaon,10000867,10.0
jammu,10000867,157.0
jamnagar,10000867,37.0
jamshedpur,10000867,740.0
jaunpur,10000867,140.0
jhansi,10000867,130.0
jind,10000867,88.0
jodhpur,10000867,63.0
junagadh,10000867,4.0
kaithal,10000867,53.0
kakinada,10000867,34.0
kalol,10000867,5.0
kanpur,10000867,2430.0
kapurthala,10000867,64.0
karnal,10000867,311.0
kashipur,10000867,75.0
khanna,10000867,43.0
kharagpur,10000867,204.0
kharar,10000867,505.0
kolhapur,10000867,23.0
kolkata,10000867,6480.0
kota,10000867,106.0
kotdwar,10000867,106.0
kurnool,10000867,10.0
kurukshetra,10000867,102.0
lakhimpur,10000867,55.0
latur,10000867,17.0
lonavala,10000867,11.0
lucknow,10000867,5739.0
ludhiana,10000867,448.0
mainpuri,10000867,78.0
manali,10000867,10.0
mangaluru,10000867,28.0
manipal,10000867,34.0
mathura,10000867,191.0
meerut,10000867,1184.0
mehsana,10000867,12.0
modinagar,10000867,150.0
moga,10000867,25.0
mohali,10000867,685.0
moradabad,10000867,293.0
morbi,10000867,5.0
mumbai,10000867,2347.0
muradnagar,10000867,38.0
muzaffarnagar,10000867,259.0
muzaffarpur,10000867,183.0
mysore,10000867,59.0
nadiad,10000867,5.0
nagpur,10000867,141.0
nanded,10000867,22.0
narmadapuram,10000867,6.0
nashik,10000867,40.0
navsari,10000867,16.0
nellore,10000867,34.0
nizamabad,10000867,8.0
noida,10000867,12395.599999999999
palwal,10000867,182.0
panchkula,10000867,407.0
panipat,10000867,533.0
pathankot,10000867,88.0
patiala,10000867,193.0
patna,10000867,1294.0
phagwara,10000867,80.0
prayagraj,10000867,1289.0
puducherry,10000867,17.0
pune,10000867,895.0
puri,10000867,112.0
purnia,10000867,118.0
raebareli,10000867,172.0
raipur,10000867,155.0
rajahmundry,10000867,61.0
rajkot,10000867,38.0
rajpura,10000867,32.0
rampur,10000867,100.0
ranchi,10000867,584.0
ratlam,10000867,3.0
rewa,10000867,34.0
rewari,10000867,166.0
rishikesh,10000867,265.0
rohtak,10000867,437.0
roorkee,10000867,236.0
rudrapur,10000867,263.0
saharanpur,10000867,331.0
sangli,10000867,1.0
sangrur,10000867,16.0
satara,10000867,3.0
satna,10000867,29.0
shillong,10000867,102.0
shimoga,10000867,18.0
sikar,10000867,32.0
siliguri,10000867,95.0
sirsa,10000867,87.0
sitapur,10000867,79.0
solan,10000867,70.0
solapur,10000867,28.0
sonipat,10000867,910.0
sri ganganagar,10000867,28.0
sundar nagar,10000867,25.0
surat,10000867,45.0
tirupati,10000867,25.0
tumkur,10000867,10.0
udaipur,10000867,73.0
udupi,10000867,15.0
ujjain,10000867,28.0
una,10000867,51.0
unnao,10000867,47.0
vadodara,10000867,121.0
vapi,10000867,28.0
varanasi,10000867,1280.0
vellore,10000867,18.0
vijayawada,10000867,107.0
vizag,10000867,312.0
vizianagaram,10000867,53.0
vrindavan,10000867,181.0
warangal,10000867,31.0
yamunanagar,10000867,265.0
zirakpur,10000867,617.0
agra,10002072,5.0
aligarh,10002072,5.0
ayodhya,10002072,1.0
barabanki,10002072,1.0
bareilly,10002072,1.0
bijnor,10002072,1.0
delhi,10002072,148.0
faridabad,10002072,7.0
ghaziabad,10002072,13.799999999999999
gonda,10002072,1.0
gorakhpur,10002072,2.0
gurgaon,10002072,50.0
haldwani,10002072,1.0
hardoi,10002072,1.0
hisar,10002072,1.0
jhansi,10002072,3.0
kanpur,10002072,1.0
karnal,10002072,2.0
lucknow,10002072,21.0
mathura,10002072,1.0
meerut,10002072,5.0
modinagar,10002072,1.0
muradnagar,10002072,1.0
muzaffarnagar,10002072,1.0
noida,10002072,32.199999999999996
panipat,10002072,1.0
prayagraj,10002072,2.0
raebareli,10002072,1.0
rohtak,10002072,1.0
saharanpur,10002072,1.0
sonipat,10002072,3.0
varanasi,10002072,2.0
vrindavan,10002072,2.0
yamunanagar,10002072,1.0
agra,10002610,112.0
ahmedabad,10002610,467.0
ahmednagar,10002610,2.0
ajmer,10002610,25.0
akola,10002610,13.0
aligarh,10002610,22.0
alwar,10002610,21.0
ambala,10002610,15.0
amravati,10002610,35.0
amritsar,10002610,140.0
anand,10002610,23.0
ankleshwar,10002610,2.0
asansol,10002610,39.0
aurangabad,10002610,21.0
ayodhya,10002610,23.0
baddi,10002610,3.0
bahadurgarh,10002610,31.0
barabanki,10002610,7.0
bardhaman,10002610,21.0
bareilly,10002610,24.0
batala,10002610,5.0
bathinda,10002610,16.0
begusarai,10002610,11.0
berhampur,10002610,8.0
bhagalpur,10002610,23.0
bharuch,10002610,22.0
bhavnagar,10002610,20.0
bhiwadi,10002610,60.0
bhiwani,10002610,14.0
bhopal,10002610,320.0
bhubaneswar,10002610,145.0
bhuj,10002610,3.0
bihar sharif,10002610,6.0
bijnor,10002610,2.0
bikaner,10002610,23.0
bilaspur,10002610,25.0
bokaro,10002610,25.0
chandigarh,10002610,166.0
chandrapur,10002610,21.0
cuttack,10002610,50.0
darbhanga,10002610,22.0
dehradun,10002610,179.0
