city_norm,item_id,month,lag_1_m3,lag_2_m3,rolling_mean_3m_m3,item_city_te,monthly_mrp_median,month_sin,month_cos,item_te,city_te,is_intermittent,month_num,own_price_avg,own_mrp_avg,own_price_sales_wt,comp_price_avg,comp_price_sales_wt,own_wt_osa_avg,own_estimated_budget_consumed_v2,gc_campaign_type,comp_total_impressions,comp_ad_impressions,comp_ad_ratio,platform_revenue_mom_lag1,platform_revenue_log_lag1,city_count_mom_lag1,store_count_mom_lag1,category_size_mom_lag1,brand_category_share_lag1,brand_share_change_lag1,forecasted_qty
udupi,10004351,2025-12-01,1.0,2.0,1.666666666666515,1.3333333333333333,225.0,-2.4492935982947064e-16,1.0,54.276780544296464,4.917355371900826,0,12,214.0,225.0,214.0,175.98616414409997,176.705882353,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.2111807
ujjain,10004351,2025-12-01,10.0,5.0,2.666666666666515,4.5,225.0,-2.4492935982947064e-16,1.0,54.276780544296464,8.192,0,12,214.0,225.0,214.0,169.49999999992858,166.32098765433335,0.9333333333333333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,6.240739
una,10004351,2025-12-01,4.0,3.0,,3.0,240.0,-2.4492935982947064e-16,1.0,54.276780544296464,5.005714285714285,0,12,228.0,240.0,228.0,170.74510582003333,166.0,1.0,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.365296
unnao,10004351,2025-12-01,2.0,4.0,2.9999999999998486,2.6,240.0,-2.4492935982947064e-16,1.0,54.276780544296464,7.44015444015444,0,12,,,,,,,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,2.8526208
vadodara,10004351,2025-12-01,53.0,48.0,48.99999999999985,30.428571428571427,480.0,-2.4492935982947064e-16,1.0,54.276780544296464,44.48811410459588,0,12,226.17339801946667,238.0429264493,226.20770957999997,177.9013742002,177.2567631127736,0.8005870275266667,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,40.058952
vapi,10004351,2025-12-01,3.0,5.0,3.3333333333331816,2.5,240.0,-2.4492935982947064e-16,1.0,54.276780544296464,4.916,0,12,,,,,,,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,2.8526208
varanasi,10004351,2025-12-01,53.0,62.0,46.33333333333318,25.384615384615383,675.0,-2.4492935982947064e-16,1.0,54.276780544296464,69.7860465116279,0,12,227.62766137146667,239.60106575516664,227.47174233915095,172.97146816143334,172.6825719203585,0.9353939642166667,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,36.373184
vellore,10004351,2025-12-01,2.0,2.0,2.0,1.4444444444444444,215.0,-2.4492935982947064e-16,1.0,54.276780544296464,4.25,0,12,207.93894,218.1945,205.0,173.8855723905,171.89375,0.9333333333333333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,5.144117
vijayawada,10004351,2025-12-01,17.0,14.0,20.333333333333183,12.909090909090908,225.0,-2.4492935982947064e-16,1.0,54.276780544296464,17.53344768439108,0,12,216.24679729456665,227.40728281559998,216.24594403788234,172.38829601573335,174.42550450964706,0.8015850172233333,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,16.069403
vizag,10004351,2025-12-01,36.0,35.0,36.99999999999985,20.0,240.0,-2.4492935982947064e-16,1.0,54.276780544296464,25.902826855123674,0,12,216.85149749570002,228.05517588824998,217.02412457161108,169.90225477101666,169.06312115055556,0.8681225235385,,2,,,,0.06755660566256227,24.50321678852503,0.06951871657754016,0.048828125,0.04020295401601892,21.33,-0.3000000000000007,22.31297
