,city_norm,item_id,item_name,category,qty_sold
137,agra,10159798,Tata Coffee Grand Premium Instant Coffee(Packet),"Tea, Coffee & Health Drinks",37.0
138,agra,10159798,Tata Coffee Grand Premium Instant Coffee(Packet),"Tea, Coffee & Milk Drinks",63.0
139,agra,10159799,Tata Coffee Grand Premium - Instant Coffee,"Tea, Coffee & Health Drinks",29.0
140,agra,10159799,Tata Coffee Grand Premium - Instant Coffee(Jar),"Tea, Coffee & Health Drinks",38.0
141,agra,10159799,Tata Coffee Grand Premium - Instant Coffee(Jar),"Tea, Coffee & Milk Drinks",20.0
142,agra,10159799,Tata Coffee Grand Premium Instant Coffee (90 g),"Tea, Coffee & Health Drinks",68.0
143,agra,10160080,Tata Tea Gold Vita Care Tea,"Tea, Coffee & Health Drinks",129.0
144,agra,10160080,Tata Tea Gold Vita Care Tea(Pack),"Tea, Coffee & Health Drinks",9.0
145,agra,10160080,Tata Tea Gold Vita Care Tea(Pack),"Tea, Coffee & Milk Drinks",25.0
146,agra,10160081,Tata Tea Gold Vita Care Tea,"Tea, Coffee & Health Drinks",76.0
147,agra,10160081,Tata Tea Gold Vita Care Tea,"Tea, Coffee & Milk Drinks",18.0
148,agra,10160082,Tata Tea Gold Liquid Instant Tea Premix Lemon Honey,"Tea, Coffee & Health Drinks",19.0
149,agra,10160082,Tata Tea Gold Liquid Lemon Honey Instant Tea Premix,"Tea, Coffee & Health Drinks",7.0
150,agra,10160085,Tetley Kahwa Green Tea Bags,"Tea, Coffee & Health Drinks",86.0
151,agra,10160085,Tetley Kahwa Green Tea Bags,"Tea, Coffee & Milk Drinks",2.0
152,agra,10160329,Tata Tea Gold Kashmiri Kahwa Instant Tea Premix,"Tea, Coffee & Health Drinks",5.0
153,agra,10160329,Tata Tea Gold Liquid Instant Tea Premix Kashmiri Kahwa,"Tea, Coffee & Health Drinks",19.0
154,agra,10165592,Tata Tea Agni Elaichi Tea Leaves,"Tea, Coffee & Health Drinks",1932.0
155,agra,10165592,Tata Tea Agni Elaichi Tea Leaves(Packet),"Tea, Coffee & Health Drinks",167.0
156,agra,10165592,Tata Tea Agni Elaichi Tea Leaves(Packet),"Tea, Coffee & Milk Drinks",446.0
157,agra,10179487,Tata Tea Agni Tea,"Tea, Coffee & Health Drinks",157.0
158,agra,10179487,Tata Tea Agni Tea,"Tea, Coffee & Milk Drinks",92.0
159,agra,10179739,"Organic India Tulsi Detox Kahwa (Tea, Infusion Bags)(Box)","Tea, Coffee & Health Drinks",245.0
160,agra,10179739,"Organic India Tulsi Detox Kahwa (Tea, Infusion Bags)(Box)","Tea, Coffee & Milk Drinks",83.0
161,agra,10185710,Tetley Ginger Mint & Lemon Flavoured Green Tea Bags(Box),"Tea, Coffee & Milk Drinks",13.0
162,agra,10185712,Tetley Lemon & Honey Flavoured Green Tea Bags(Box),"Tea, Coffee & Milk Drinks",5.0
163,agra,10192259,Tata Tea Premium Care Leaf Tea,"Tea, Coffee & Health Drinks",70.0
164,agra,10192259,Tata Tea Premium Care Leaf Tea(Pack),"Tea, Coffee & Health Drinks",21.0
165,agra,10192259,Tata Tea Premium Care Leaf Tea(Pack),"Tea, Coffee & Milk Drinks",90.0
166,agra,10218950,Tata Tea Premium Care Leaf Tea(Pouch),"Tea, Coffee & Health Drinks",73.0
167,agra,10218950,Tata Tea Premium Care Leaf Tea(Pouch),"Tea, Coffee & Milk Drinks",53.0
168,agra,10218950,Tata Tea Premium Care Tea(Pouch),"Tea, Coffee & Health Drinks",2.0
169,agra,10246467,"Tetley Slim Care Green Tea Bags (With L-Carnitine, Lemon & Honey)(Box)","Tea, Coffee & Health Drinks",5.0
170,agra,10246467,"Tetley Slim Care Green Tea Bags (With L-Carnitine, Lemon & Honey)(Box)","Tea, Coffee & Milk Drinks",79.0
171,agra,10246630,Tetley Classic Green Tea Bags (With Added Vitamin C)(Pouch),"Tea, Coffee & Milk Drinks",6.0
172,agra,10250406,Tetley Japanese Matcha Green Tea (Powder)(Pouch),"Tea, Coffee & Milk Drinks",4.0
173,agra,10250406,Tetley Japanese Matcha Tea(Pouch),"Tea, Coffee & Milk Drinks",6.0
174,ahmedabad,10000197,Organic India Tulsi Classic Green Tea Bags,"Tea, Coffee & Health Drinks",745.0
175,ahmedabad,10000197,Organic India Tulsi Classic Green Tea Bags(Pack),"Tea, Coffee & Health Drinks",532.0
176,ahmedabad,10000197,Organic India Tulsi Classic Green Tea Bags(Pack),"Tea, Coffee & Milk Drinks",312.0
177,ahmedabad,10000295,Tata Tea Gold,"Tea, Coffee & Health Drinks",5153.0
178,ahmedabad,10000295,Tata Tea Gold(Pack),"Tea, Coffee & Health Drinks",2505.0
179,ahmedabad,10000295,Tata Tea Gold(Pack),"Tea, Coffee & Milk Drinks",1653.0
180,ahmedabad,10000296,Tetley Immune with Added Vitamin C Green Tea (100 g),"Tea, Coffee & Health Drinks",576.0
181,ahmedabad,10000296,Tetley Immune with Added Vitamin C Green Tea (100 g)(Pack),"Tea, Coffee & Health Drinks",393.0
182,ahmedabad,10000296,Tetley Immune with Added Vitamin C Green Tea (100 g)(Pack),"Tea, Coffee & Milk Drinks",175.0
183,ahmedabad,10000867,Tata Tea Premium Tea,"Tea, Coffee & Health Drinks",2387.0
184,ahmedabad,10000867,Tata Tea Premium Tea(Pack),"Tea, Coffee & Health Drinks",1281.0
185,ahmedabad,10000867,Tata Tea Premium Tea(Pack),"Tea, Coffee & Milk Drinks",784.0
186,ahmedabad,10002610,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Health Drinks",5386.0
187,ahmedabad,10002610,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Milk Drinks",888.0
188,ahmedabad,10004348,Organic India Tulsi Ginger Tea Bags,"Tea, Coffee & Health Drinks",273.0
189,ahmedabad,10004348,Organic India Tulsi Ginger Tea Bags(Pack),"Tea, Coffee & Health Drinks",183.0
190,ahmedabad,10004348,Organic India Tulsi Ginger Tea Bags(Pack),"Tea, Coffee & Milk Drinks",119.0
191,ahmedabad,10004350,Organic India Tulsi Honey Chamomile Tea Bags,"Tea, Coffee & Health Drinks",775.0
192,ahmedabad,10004350,Organic India Tulsi Honey Chamomile Tea Bags(Pack),"Tea, Coffee & Health Drinks",894.0
193,ahmedabad,10004350,Organic India Tulsi Honey Chamomile Tea Bags(Pack),"Tea, Coffee & Milk Drinks",242.0
194,ahmedabad,10004351,Organic India Lemon Ginger Tulsi Green Tea Bags,"Tea, Coffee & Health Drinks",657.0
195,ahmedabad,10004351,Organic India Lemon Ginger Tulsi Green Tea Bags(Pack),"Tea, Coffee & Health Drinks",726.0
196,ahmedabad,10004351,Organic India Lemon Ginger Tulsi Green Tea Bags(Pack),"Tea, Coffee & Milk Drinks",265.0
197,ahmedabad,10004352,Organic India Tulsi Sweet Rose Green Tea Bags,"Tea, Coffee & Health Drinks",353.0
198,ahmedabad,10004352,Organic India Tulsi Sweet Rose Green Tea Bags(Pack),"Tea, Coffee & Health Drinks",212.0
199,ahmedabad,10004352,Organic India Tulsi Sweet Rose Green Tea Bags(Pack),"Tea, Coffee & Milk Drinks",106.0
200,ahmedabad,10004353,Organic India Tulsi Mulethi Tea Bags(Pack),"Tea, Coffee & Health Drinks",27.0
201,ahmedabad,10004353,Organic India Tulsi Mulethi Tea Bags(Pack),"Tea, Coffee & Milk Drinks",77.0
202,ahmedabad,10005131,Tata Tea Premium Tea(Pouch),"Tea, Coffee & Health Drinks",2090.0
203,ahmedabad,10005131,Tata Tea Premium Tea(Pouch),"Tea, Coffee & Milk Drinks",444.0
204,ahmedabad,10005305,Tata Tea Premium Tea Bags,"Tea, Coffee & Health Drinks",145.0
205,ahmedabad,10005305,Tata Tea Premium Tea Bags(Pack),"Tea, Coffee & Health Drinks",151.0
206,ahmedabad,10005305,Tata Tea Premium Tea Bags(Pack),"Tea, Coffee & Milk Drinks",85.0
207,ahmedabad,10005887,Tetley Lemon & Honey Green Tea Bags,"Tea, Coffee & Health Drinks",38.0
208,ahmedabad,10005887,Tetley Lemon & Honey Green Tea Bags (Immune with added Vitamin C),"Tea, Coffee & Health Drinks",91.0
209,ahmedabad,10005887,Tetley Lemon & Honey Green Tea Bags (with added Vitamin C)(Pack),"Tea, Coffee & Health Drinks",111.0
210,ahmedabad,10005887,Tetley Lemon & Honey Green Tea Bags (with added Vitamin C)(Pack),"Tea, Coffee & Milk Drinks",63.0
211,ahmedabad,10005893,Tetley Original Black Tea - Tea Bags,"Tea, Coffee & Health Drinks",651.0
212,ahmedabad,10005893,Tetley Original Black Tea - Tea Bags(Pack),"Tea, Coffee & Health Drinks",436.0
213,ahmedabad,10005893,Tetley Original Black Tea - Tea Bags(Pack),"Tea, Coffee & Milk Drinks",299.0
214,ahmedabad,10006105,Tata Tea Gold(Pouch),"Tea, Coffee & Health Drinks",1987.0
215,ahmedabad,10006105,Tata Tea Gold(Pouch),"Tea, Coffee & Milk Drinks",605.0
216,ahmedabad,10006205,Tata Tea Premium Tea 1 Kg(Pouch),"Tea, Coffee & Health Drinks",220.0
217,ahmedabad,10006205,Tata Tea Premium Tea 1 Kg(Pouch),"Tea, Coffee & Milk Drinks",102.0
218,ahmedabad,10006205,Tata Tea Premium Tea(Pouch),"Tea, Coffee & Health Drinks",203.0
219,ahmedabad,10006207,Tata Tea Gold(Pouch),"Tea, Coffee & Health Drinks",1774.0
220,ahmedabad,10006207,Tata Tea Gold(Pouch),"Tea, Coffee & Milk Drinks",549.0
221,ahmedabad,10006611,Organic India Tulsi Original Green Tea,"Tea, Coffee & Health Drinks",375.0
222,ahmedabad,10006611,Organic India Tulsi Original Green Tea (Classic)(Pack),"Tea, Coffee & Milk Drinks",155.0
223,ahmedabad,10006611,Organic India Tulsi Original Green Tea(Pack),"Tea, Coffee & Health Drinks",438.0
224,ahmedabad,10006611,Organic India Tulsi Original Green Tea(Pack),"Tea, Coffee & Milk Drinks",35.0
225,ahmedabad,10007027,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Health Drinks",13344.0
226,ahmedabad,10007027,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Milk Drinks",3223.0
227,ahmedabad,10007028,Tata Tea Agni Special Blend Tea(Pouch),"Tea, Coffee & Health Drinks",2074.0
228,ahmedabad,10007028,Tata Tea Agni Strong Tea(Pouch),"Tea, Coffee & Health Drinks",432.0
229,ahmedabad,10007028,Tata Tea Agni Strong Tea(Pouch),"Tea, Coffee & Milk Drinks",216.0
230,ahmedabad,10007028,Tata Tea Agni Tea(Pouch),"Tea, Coffee & Health Drinks",1852.0
231,ahmedabad,10007377,Tata Tea Gold(Pouch),"Tea, Coffee & Health Drinks",4902.0
232,ahmedabad,10007377,Tata Tea Gold(Pouch),"Tea, Coffee & Milk Drinks",1082.0
233,ahmedabad,10007924,Tata Tea Premium Tea(Pouch),"Tea, Coffee & Health Drinks",1.0
234,ahmedabad,10010626,Organic India Tulsi Chai Masala Tea(Pack),"Tea, Coffee & Health Drinks",2.0
235,ahmedabad,10010626,Organic India Tulsi Chai Masala Tea(Pack),"Tea, Coffee & Milk Drinks",1.0
236,ahmedabad,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with Added Vitamin C)(Pack)","Tea, Coffee & Health Drinks",4.0
237,ahmedabad,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with Added Vitamin C)(Packet)","Tea, Coffee & Health Drinks",78.0
238,ahmedabad,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with Added Vitamin C)(Packet)","Tea, Coffee & Milk Drinks",54.0
239,ahmedabad,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)","Tea, Coffee & Health Drinks",204.0
240,ahmedabad,10011132,"Tetley Ginger, Mint & Lemon Green Tea Bags (Immune with added Vitamin C)(Pack)","Tea, Coffee & Health Drinks",48.0
241,ahmedabad,10015803,Tetley Immune with Added Vitamin C Green Tea (250 g)(Pack),"Tea, Coffee & Health Drinks",84.0
242,ahmedabad,10015803,Tetley Immune with Added Vitamin C Green Tea (250 g)(Pack),"Tea, Coffee & Milk Drinks",52.0
243,ahmedabad,10015803,Tetley Long Leaf Green Tea (250 g),"Tea, Coffee & Health Drinks",192.0
244,ahmedabad,10015807,Tata Coffee Grand Classic- Instant Coffee(Pouch),"Tea, Coffee & Health Drinks",3948.0
